"OID","Country or Area","Year","Description","Magnitude","Value"
"91491F..ZF...","ALBANIA","2007","GOVERNMENT CONSUMPTION","LEKS","98351700000"
"91491F..ZF...","ALBANIA","2006","GOVERNMENT CONSUMPTION","LEKS","89411200000"
"91491F..ZF...","ALBANIA","2005","GOVERNMENT CONSUMPTION","LEKS","88508000000"
"91491F..ZF...","ALBANIA","2004","GOVERNMENT CONSUMPTION","LEKS","82483800000"
"91491F..ZF...","ALBANIA","2003","GOVERNMENT CONSUMPTION","LEKS","75585400000"
"91491F..ZF...","ALBANIA","2002","GOVERNMENT CONSUMPTION","LEKS","69571800000"
"91491F..ZF...","ALBANIA","2001","GOVERNMENT CONSUMPTION","LEKS","60667500000"
"91491F..ZF...","ALBANIA","2000","GOVERNMENT CONSUMPTION","LEKS","49453700000"
"91491F..ZF...","ALBANIA","1999","GOVERNMENT CONSUMPTION","LEKS","47022600000"
"91491F..ZF...","ALBANIA","1998","GOVERNMENT CONSUMPTION","LEKS","41986900000"
"91491F..ZF...","ALBANIA","1997","GOVERNMENT CONSUMPTION","LEKS","35167100000"
"91491F..ZF...","ALBANIA","1996","GOVERNMENT CONSUMPTION","LEKS","31851900000"
"91491F..ZF...","ALBANIA","1990","GOVERNMENT CONSUMPTION","LEKS","1715000000"
"91491F..ZF...","ALBANIA","1989","GOVERNMENT CONSUMPTION","LEKS","1645000000"
"91491F..ZF...","ALBANIA","1988","GOVERNMENT CONSUMPTION","LEKS","1608000000"
"91491F..ZF...","ALBANIA","1987","GOVERNMENT CONSUMPTION","LEKS","1663000000"
"91491F..ZF...","ALBANIA","1986","GOVERNMENT CONSUMPTION","LEKS","1612000000"
"91491F..ZF...","ALBANIA","1985","GOVERNMENT CONSUMPTION","LEKS","1569000000"
"91491F..ZF...","ALBANIA","1984","GOVERNMENT CONSUMPTION","LEKS","1554000000"
"91491F..ZF...","ALBANIA","1983","GOVERNMENT CONSUMPTION","LEKS","1468000000"
"91491F..ZF...","ALBANIA","1982","GOVERNMENT CONSUMPTION","LEKS","1421000000"
"91491F..ZF...","ALBANIA","1981","GOVERNMENT CONSUMPTION","LEKS","1372000000"
"91491F..ZF...","ALBANIA","1980","GOVERNMENT CONSUMPTION","LEKS","1396000000"
"61291F..ZF...","ALGERIA","2007","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","1062910000000"
"61291F..ZF...","ALGERIA","2006","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","954868000000"
"61291F..ZF...","ALGERIA","2005","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","865879000000"
"61291F..ZF...","ALGERIA","2004","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","846896000000"
"61291F..ZF...","ALGERIA","2003","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","777522000000"
"61291F..ZF...","ALGERIA","2002","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","700447000000"
"61291F..ZF...","ALGERIA","2001","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","624559000000"
"61291F..ZF...","ALGERIA","2000","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","560136000000"
"61291F..ZF...","ALGERIA","1999","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","543604000000"
"61291F..ZF...","ALGERIA","1998","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","503631000000"
"61291F..ZF...","ALGERIA","1997","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","459832000000"
"61291F..ZF...","ALGERIA","1996","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","405369000000"
"61291F..ZF...","ALGERIA","1995","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","340207000000"
"61291F..ZF...","ALGERIA","1994","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","263935000000"
"61291F..ZF...","ALGERIA","1993","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","221203000000"
"61291F..ZF...","ALGERIA","1992","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","184765000000"
"61291F..ZF...","ALGERIA","1991","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","128191000000"
"61291F..ZF...","ALGERIA","1990","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","90066700000"
"61291F..ZF...","ALGERIA","1989","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","70791400000"
"61291F..ZF...","ALGERIA","1988","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","65138600000"
"61291F..ZF...","ALGERIA","1987","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","57995900000"
"61291F..ZF...","ALGERIA","1986","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","52891300000"
"61291F..ZF...","ALGERIA","1985","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","45832200000"
"61291F..ZF...","ALGERIA","1984","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","39476000000"
"61291F..ZF...","ALGERIA","1983","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","34693000000"
"61291F..ZF...","ALGERIA","1982","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","30660000000"
"61291F..ZF...","ALGERIA","1981","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","26354000000"
"61291F..ZF...","ALGERIA","1980","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","22351000000"
"61291F..ZF...","ALGERIA","1979","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","17480000000"
"61291F..ZF...","ALGERIA","1978","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","14598000000"
"61291F..ZF...","ALGERIA","1977","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","11589000000"
"61291F..ZF...","ALGERIA","1976","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","9246000000"
"61291F..ZF...","ALGERIA","1975","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","7971000000"
"61291F..ZF...","ALGERIA","1974","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","5929000000"
"61291F..ZF...","ALGERIA","1973","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","5000000000"
"61291F..ZF...","ALGERIA","1972","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","4550000000"
"61291F..ZF...","ALGERIA","1971","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","4300000000"
"61291F..ZF...","ALGERIA","1970","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","4036000000"
"61291F..ZF...","ALGERIA","1969","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","3675000000"
"61291F..ZF...","ALGERIA","1968","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","3540000000"
"61291F..ZF...","ALGERIA","1967","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","3350000000"
"61291F..ZF...","ALGERIA","1966","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","3040000000"
"61291F..ZF...","ALGERIA","1965","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","2900000000"
"61291F..ZF...","ALGERIA","1964","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","2820000000"
"61291F..ZF...","ALGERIA","1963","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","2880000000"
"61291F..ZF...","ALGERIA","1962","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","2200000000"
"61291F..ZF...","ALGERIA","1961","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","3200000000"
"61291F..ZF...","ALGERIA","1960","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","4100000000"
"61291F..ZF...","ALGERIA","1959","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","4900000000"
"61291F..ZF...","ALGERIA","1958","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","4400000000"
"61291F..ZF...","ALGERIA","1957","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","3600000000"
"61291F..ZF...","ALGERIA","1956","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","2700000000"
"61291F..ZF...","ALGERIA","1955","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","1500000000"
"61291F..ZF...","ALGERIA","1954","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","1100000000"
"61291F..ZF...","ALGERIA","1953","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","1000000000"
"61291F..ZF...","ALGERIA","1952","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","900000000"
"61291F..ZF...","ALGERIA","1951","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","800000000"
"61291F..ZF...","ALGERIA","1950","GOVERNMENT CONSUMPTION EXPEND.","ALGERIAN DINARS","600000000"
"31291F..ZF...","ANGUILLA","2010","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","113530000"
"31291F..ZF...","ANGUILLA","2009","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","111310000"
"31291F..ZF...","ANGUILLA","2008","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","114750000"
"31291F..ZF...","ANGUILLA","2007","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","92780000"
"31291F..ZF...","ANGUILLA","2006","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","92880000"
"31291F..ZF...","ANGUILLA","2005","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","85070000"
"31291F..ZF...","ANGUILLA","2004","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","65870000"
"31291F..ZF...","ANGUILLA","2003","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","55550000"
"31291F..ZF...","ANGUILLA","2002","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","54720000"
"31291F..ZF...","ANGUILLA","2001","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","53330000"
"31291F..ZF...","ANGUILLA","2000","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","49890000"
"31291F..ZF...","ANGUILLA","1999","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","42490000"
"31291F..ZF...","ANGUILLA","1998","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","35540000"
"31291F..ZF...","ANGUILLA","1997","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","43950000"
"31291F..ZF...","ANGUILLA","1996","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","37600000"
"31291F..ZF...","ANGUILLA","1995","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","35570000"
"31291F..ZF...","ANGUILLA","1994","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","32620000"
"31291F..ZF...","ANGUILLA","1993","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","27640000"
"31291F..ZF...","ANGUILLA","1992","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","25140000"
"31291F..ZF...","ANGUILLA","1991","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","23300000"
"31291F..ZF...","ANGUILLA","1990","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","20230000"
"31291F..ZF...","ANGUILLA","1989","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","17650000"
"31291F..ZF...","ANGUILLA","1988","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","14740000"
"31291F..ZF...","ANGUILLA","1987","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","11740000"
"31291F..ZF...","ANGUILLA","1986","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","8960000"
"31291F..ZF...","ANGUILLA","1985","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","7290000"
"31291F..ZF...","ANGUILLA","1984","GOVERNMENT CONSUMPTION EXPE","E.CARIBBEAN DOLL","7120000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2009","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","591970000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2008","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","610280000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2007","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","594680000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2006","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","495280000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2005","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","445410000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2004","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","440260000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2003","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","414310000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2002","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","504530000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2001","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","435030000"
"31191F..ZF...","ANTIGUA AND BARBUDA","2000","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","399870000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1999","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","396420000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1998","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","364860000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1997","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","318090000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1996","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","307690000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1995","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","284750000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1994","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","258170000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1993","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","230160000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1992","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","209220000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1991","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","193860000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1990","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","189790000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1989","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","191690000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1988","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","177030000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1987","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","128060000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1986","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","121160000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1985","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","98700000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1984","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","86490000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1983","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","83180000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1982","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","70780000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1981","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","63410000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1980","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","57360000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1979","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","45870000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1978","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","34300000"
"31191F..ZF...","ANTIGUA AND BARBUDA","1977","GOVERNMENT CONSUMPTION EXPEND.","E.CARIBBEAN DOLL","34470000"
"21391F..ZF...","ARGENTINA","2009","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","174002000000"
"21391F..ZF...","ARGENTINA","2008","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","139336000000"
"21391F..ZF...","ARGENTINA","2007","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","105013000000"
"21391F..ZF...","ARGENTINA","2006","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","81247500000"
"21391F..ZF...","ARGENTINA","2005","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","63359300000"
"21391F..ZF...","ARGENTINA","2004","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","49825500000"
"21391F..ZF...","ARGENTINA","2003","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","42996700000"
"21391F..ZF...","ARGENTINA","2002","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","38244900000"
"21391F..ZF...","ARGENTINA","2001","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","38037400000"
"21391F..ZF...","ARGENTINA","2000","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","39175200000"
"21391F..ZF...","ARGENTINA","1999","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","38908500000"
"21391F..ZF...","ARGENTINA","1998","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","37352900000"
"21391F..ZF...","ARGENTINA","1997","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","35324700000"
"21391F..ZF...","ARGENTINA","1996","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","34023300000"
"21391F..ZF...","ARGENTINA","1995","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","34445800000"
"21391F..ZF...","ARGENTINA","1994","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","33948400000"
"21391F..ZF...","ARGENTINA","1993","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","31952700000"
"21391F..ZF...","ARGENTINA","1992","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1991","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1990","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1989","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1988","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1987","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1986","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1985","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1984","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1983","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1982","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1981","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1980","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1979","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","163.7"
"21391F..ZF...","ARGENTINA","1978","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","60.9"
"21391F..ZF...","ARGENTINA","1977","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","19.7"
"21391F..ZF...","ARGENTINA","1976","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","7.4"
"21391F..ZF...","ARGENTINA","1975","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","1.9"
"21391F..ZF...","ARGENTINA","1974","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.7"
"21391F..ZF...","ARGENTINA","1973","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.4"
"21391F..ZF...","ARGENTINA","1972","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.2"
"21391F..ZF...","ARGENTINA","1971","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.1"
"21391F..ZF...","ARGENTINA","1970","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.1"
"21391F..ZF...","ARGENTINA","1969","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.1"
"21391F..ZF...","ARGENTINA","1968","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.1"
"21391F..ZF...","ARGENTINA","1967","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.1"
"21391F..ZF...","ARGENTINA","1966","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1965","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1964","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1963","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1962","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1961","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1960","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1959","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1958","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1957","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1956","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1955","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1954","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1953","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1952","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1951","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0"
"21391F..ZF...","ARGENTINA","1950","GOVERNMENT CONSUMPTION EXPEND.","ARGENTINE PESOS","0.001"
"91191F..ZF...","ARMENIA","2009","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","451890000000"
"91191F..ZF...","ARMENIA","2008","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","421468000000"
"91191F..ZF...","ARMENIA","2007","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","320382000000"
"91191F..ZF...","ARMENIA","2006","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","268017000000"
"91191F..ZF...","ARMENIA","2005","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","236646000000"
"91191F..ZF...","ARMENIA","2004","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","194095000000"
"91191F..ZF...","ARMENIA","2003","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","165831000000"
"91191F..ZF...","ARMENIA","2002","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","136071000000"
"91191F..ZF...","ARMENIA","2001","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","132708000000"
"91191F..ZF...","ARMENIA","2000","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","121791000000"
"91191F..ZF...","ARMENIA","1999","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","117591000000"
"91191F..ZF...","ARMENIA","1998","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","105589000000"
"91191F..ZF...","ARMENIA","1997","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","90220400000"
"91191F..ZF...","ARMENIA","1996","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","74264500000"
"91191F..ZF...","ARMENIA","1995","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","58336200000"
"91191F..ZF...","ARMENIA","1994","GOVERNMENT CONSUMPTION EXPEND.","DRAMS","21086200000"
"31491F..ZF...","ARUBA","2008","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","1044000000"
"31491F..ZF...","ARUBA","2007","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","960000000"
"31491F..ZF...","ARUBA","2006","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","987670000"
"31491F..ZF...","ARUBA","2005","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","931480000"
"31491F..ZF...","ARUBA","2004","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","924610000"
"31491F..ZF...","ARUBA","2003","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","894420000"
"31491F..ZF...","ARUBA","2002","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","874070000"
"31491F..ZF...","ARUBA","2001","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","843300000"
"31491F..ZF...","ARUBA","2000","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","718300000"
"31491F..ZF...","ARUBA","1999","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","673960000"
"31491F..ZF...","ARUBA","1998","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","654980000"
"31491F..ZF...","ARUBA","1997","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","647440000"
"31491F..ZF...","ARUBA","1996","GOVERNMENT CONSUMPTION EXPEND.","ARUBAN FLORINS","498300000"
